,Date,Status,X,Y,Z,Source,Time,SessionTime
11917,2022-03-20 14:52:46.440,OnTrack,-353,1877,-158,pos,0 days 00:51:46.423000,0 days 00:51:46.423000
11918,2022-03-20 14:52:46.600,OnTrack,-353,1877,-158,pos,0 days 00:51:46.583000,0 days 00:51:46.583000
11919,2022-03-20 14:52:47.140,OnTrack,-353,1877,-158,pos,0 days 00:51:47.123000,0 days 00:51:47.123000
11920,2022-03-20 14:52:47.340,OnTrack,-353,1877,-158,pos,0 days 00:51:47.323000,0 days 00:51:47.323000
11921,2022-03-20 14:52:47.560,OnTrack,-353,1877,-158,pos,0 days 00:51:47.543000,0 days 00:51:47.543000
11922,2022-03-20 14:52:47.700,OnTrack,-353,1877,-158,pos,0 days 00:51:47.683000,0 days 00:51:47.683000
11923,2022-03-20 14:52:47.880,OnTrack,-353,1877,-158,pos,0 days 00:51:47.863000,0 days 00:51:47.863000
11924,2022-03-20 14:52:48.061,OnTrack,-353,1877,-158,pos,0 days 00:51:48.044000,0 days 00:51:48.044000
11925,2022-03-20 14:52:48.341,OnTrack,-353,1877,-158,pos,0 days 00:51:48.324000,0 days 00:51:48.324000
11926,2022-03-20 14:52:48.461,OnTrack,-353,1877,-158,pos,0 days 00:51:48.444000,0 days 00:51:48.444000
11927,2022-03-20 14:52:48.741,OnTrack,-353,1877,-158,pos,0 days 00:51:48.724000,0 days 00:51:48.724000
11928,2022-03-20 14:52:48.961,OnTrack,-353,1877,-158,pos,0 days 00:51:48.944000,0 days 00:51:48.944000
11929,2022-03-20 14:52:49.181,OnTrack,-353,1877,-158,pos,0 days 00:51:49.164000,0 days 00:51:49.164000
11930,2022-03-20 14:52:49.381,OnTrack,-353,1877,-158,pos,0 days 00:51:49.364000,0 days 00:51:49.364000
11931,2022-03-20 14:52:49.561,OnTrack,-353,1877,-158,pos,0 days 00:51:49.544000,0 days 00:51:49.544000
11932,2022-03-20 14:52:49.881,OnTrack,-353,1877,-158,pos,0 days 00:51:49.864000,0 days 00:51:49.864000
11933,2022-03-20 14:52:50.121,OnTrack,-353,1877,-158,pos,0 days 00:51:50.104000,0 days 00:51:50.104000
11934,2022-03-20 14:52:50.321,OnTrack,-353,1877,-158,pos,0 days 00:51:50.304000,0 days 00:51:50.304000
11935,2022-03-20 14:52:50.541,OnTrack,-353,1877,-158,pos,0 days 00:51:50.524000,0 days 00:51:50.524000
11936,2022-03-20 14:52:50.721,OnTrack,-353,1877,-158,pos,0 days 00:51:50.704000,0 days 00:51:50.704000
11937,2022-03-20 14:52:51.021,OnTrack,-353,1877,-158,pos,0 days 00:51:51.004000,0 days 00:51:51.004000
11938,2022-03-20 14:52:51.241,OnTrack,-353,1877,-158,pos,0 days 00:51:51.224000,0 days 00:51:51.224000
11939,2022-03-20 14:52:51.501,OnTrack,-353,1877,-158,pos,0 days 00:51:51.484000,0 days 00:51:51.484000
11940,2022-03-20 14:52:51.721,OnTrack,-353,1877,-158,pos,0 days 00:51:51.704000,0 days 00:51:51.704000
11941,2022-03-20 14:52:51.941,OnTrack,-353,1877,-158,pos,0 days 00:51:51.924000,0 days 00:51:51.924000
11942,2022-03-20 14:52:52.161,OnTrack,-353,1877,-158,pos,0 days 00:51:52.144000,0 days 00:51:52.144000
11943,2022-03-20 14:52:52.341,OnTrack,-353,1877,-158,pos,0 days 00:51:52.324000,0 days 00:51:52.324000
11944,2022-03-20 14:52:52.461,OnTrack,-353,1877,-158,pos,0 days 00:51:52.444000,0 days 00:51:52.444000
11945,2022-03-20 14:52:52.781,OnTrack,-353,1877,-158,pos,0 days 00:51:52.764000,0 days 00:51:52.764000
11946,2022-03-20 14:52:53.000,OnTrack,-353,1877,-158,pos,0 days 00:51:52.983000,0 days 00:51:52.983000
11947,2022-03-20 14:52:53.380,OnTrack,-353,1877,-158,pos,0 days 00:51:53.363000,0 days 00:51:53.363000
11948,2022-03-20 14:52:53.540,OnTrack,-353,1877,-158,pos,0 days 00:51:53.523000,0 days 00:51:53.523000
11949,2022-03-20 14:52:53.920,OnTrack,-353,1877,-158,pos,0 days 00:51:53.903000,0 days 00:51:53.903000
11950,2022-03-20 14:52:54.080,OnTrack,-353,1877,-158,pos,0 days 00:51:54.063000,0 days 00:51:54.063000
11951,2022-03-20 14:52:54.500,OnTrack,-353,1877,-158,pos,0 days 00:51:54.483000,0 days 00:51:54.483000
11952,2022-03-20 14:52:54.701,OnTrack,-353,1877,-158,pos,0 days 00:51:54.684000,0 days 00:51:54.684000
